LAT_DEG,LONG_DEG,As
22.8731,90.7844,13
23.0194,90.8786,256
22.965,90.9597,38
22.9253,90.9744,8
22.8653,90.9372,6
22.8525,90.9058,6
22.8567,90.8642,15
22.9322,90.7767,65
22.9347,90.8294,6
22.9414,90.8644,142
23.5331,89.79,41
23.5347,89.8675,162
23.5969,89.8769,57
23.6603,89.7639,245
23.5825,89.8403,6
23.5872,89.8133,6
23.6669,89.8369,6
23.5753,89.7178,132
23.6139,89.7936,10
23.5819,89.835,6
24.6017,88.2767,35
24.6403,88.3783,6
24.6372,88.2381,6
24.6883,88.2633,6
24.6525,88.3139,6
24.5736,88.2067,8
24.5228,88.2683,6
24.5022,88.1817,14
24.4844,88.245,6
24.6114,88.3478,6
23.642,90.609,324
23.723,90.522,6
23.84,90.634,6
23.688,90.522,6
23.667,90.48,6
23.812,90.217,6
23.617,90.499,9
23.615,90.51,6
23.902,89.986,6
23.847,89.829,41
23.968,89.83,46
23.771,89.915,60
23.856,89.939,89
23.99,90.044,20
23.919,90.214,6
23.835,90.261,6
23.696,90.347,6
23.616,90.125,184
23.651,90.132,133
22.966,89.479,6
22.737,89.519,6
22.576,89.325,130
22.811,89.038,109
22.932,89.668,114
22.576,89.499,12
22.8,89.645,89
22.837,89.55,6
22.887,89.535,6
22.871,89.508,73
22.819,89.421,6
22.778,89.706,121
22.52,89.021,100
22.639,89.041,176
22.824,89.748,124
22.546,89.652,505
23.373,89.371,78
22.86,89.04,147
22.343,89.112,6
22.75,89.259,106
22.538,89.24,155
22.763,89.855,217
22.565,89.845,92
22.311,89.846,6
22.642,89.814,301
23.402,89.602,61
23.17,89.042,111
23.042,89.391,136
23.27,89.246,9
23.419,88.821,30
23.399,88.977,45
23.734,89.208,6
23.611,89.021,71
23.863,89.244,6
22.722,89.847,59
22.55,89.59,6
23.121,89.649,152
23.589,89.397,6
24.009,88.876,6
23.769,89.256,6
24.018,89.007,6
23.07,89.559,6
23.12,88.974,54
22.906,89.216,166
23.603,88.774,50
23.678,88.869,41
23.781,88.734,33
23.404,89.221,55
23.181,89.543,198
23.26,89.024,49
22.963,89.23,168
23.222,89.408,152
23.76,88.942,35
23.352,88.918,74
23.659,88.62,72
23.476,89.146,6
23.93,89.083,6
22.35,90.579,6
22.97,90.159,6
22.414,90.566,6
22.358,90.342,6
22.041,89.972,11
